occupation,soc_code,automation_probability,required_education,employed_may_2016,median_annual_wage_usd,average_annual_wage_usd
"Grinding, Lapping, Polishing and Buffing Machine Tool Setters, Operators and Tenders, Metal and Plastic",51-4033,0.95,High School,74600.0,32890.0,34920.0
"Separating, Filtering, Clarifying, Precipitating and Still Machine Setters, Operators and Tenders",51-9012,0.88,High School,47160.0,38360.0,41450.0
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012,0.85,High School,1404050.0,57140.0,68410.0
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,53-1031,0.029,High School,202760.0,57270.0,59800.0
"Molding, Coremaking and Casting Machine Setters, Operators and Tenders, Metal and Plastic",51-4072,0.95,High School,145560.0,30480.0,32660.0
"Extruding and Forming Machine Setters, Operators and Tenders, Synthetic and Glass Fibers",51-6091,0.88,High School,19340.0,34240.0,35420.0
"Cutting, Punching and Press Machine Setters, Operators and Tenders, Metal and Plastic",51-4031,0.78,High School,192800.0,32370.0,34210.0
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011,0.25,Bachelor’s Degree,328370.0,78980.0,92910.0
"Drilling and Boring Machine Tool Setters, Operators and Tenders, Metal and Plastic",51-4032,0.94,High School,12290.0,36410.0,38880.0
"Extruding, Forming, Pressing and Compacting Machine Setters, Operators and Tenders",51-9041,0.93,High School,71260.0,32510.0,34370.0
"Lathe and Turning Machine Tool Setters, Operators and Tenders, Metal and Plastic",51-4034,0.84,High School,33850.0,38480.0,39630.0
"Extruding and Drawing Machine Setters, Operators and Tenders, Metal and Plastic",51-4021,0.91,High School,71960.0,33870.0,35340.0
"TextileWinding, Twisting and Drawing Out Machine Setters, Operators and Tenders",51-6064,0.96,High School,30340.0,27500.0,28110.0
"First-Line Supervisors of Landscaping, Lawn Service and Groundskeeping Workers",37-1012,0.57,High School,103070.0,45740.0,48790.0
"Secretaries and Administrative Assistants, Except Legal, Medical and Executive",43-6014,0.96,High School,2295510.0,34820.0,36140.0
"Electrical and Electronics Installers and Repairers, Transportation Equipment",49-2093,0.91,Associate Degree,13960.0,59280.0,59840.0
"Information Security Analysts, Web Developers and Computer Network Architects",15-1179,0.21,Associate Degree,188740.0,62670.0,67770.0
"Milling and Planing Machine Setters, Operators and Tenders, Metal and Plastic",51-4035,0.98,High School,17560.0,39840.0,41180.0
"Plating and Coating Machine Setters, Operators and Tenders, Metal and Plastic",51-4193,0.92,High School,35570.0,31280.0,33690.0
"Telecommunications Equipment Installers and Repairers, Except Line Installers",49-2022,0.36,Associate Degree,228430.0,53640.0,54520.0
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",51-4012,0.36,High School,25180.0,50580.0,53560.0
"Food and Tobacco Roasting, Baking and Drying Machine Operators and Tenders",51-3091,0.91,High School,20080.0,28570.0,30970.0
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111,0.028,Bachelor’s Degree,25410.0,86720.0,90190.0
Adult Basic and Secondary Education and Literacy Teachers and Instructors,25-3011,0.19,Bachelor’s Degree,58810.0,50650.0,55140.0
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49-2094,0.41,Associate Degree,67390.0,56250.0,56990.0
"Heat Treating Equipment Setters, Operators and Tenders, Metal and Plastic",51-4191,0.91,High School,19780.0,37180.0,39010.0
"Helpers–Brickmasons, Blockmasons, Stonemasons and Tile and Marble Setters",47-3011,0.83,High School,23950.0,30570.0,33610.0
"Lifeguards, Ski Patrol and Other Recreational Protective Service Workers",33-9092,0.67,High School,145100.0,20290.0,22640.0
"Postal Service Mail Sorters, Processors and Processing Machine Operators",43-5053,0.79,High School,110770.0,56220.0,49710.0
"Secondary School Teachers, Except Special and Career/Technical Education",25-2031,0.0078,Bachelor’s Degree,1003250.0,58030.0,61420.0
"Crushing, Grinding and Polishing Machine Setters, Operators and Tenders",51-9021,0.97,High School,29830.0,34390.0,36050.0
"Door-to-Door Sales Workers, News and Street Vendors and Related Workers",41-9091,0.94,High School,8040.0,24330.0,28630.0
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3011,0.25,High School,17300.0,23850.0,25600.0
"Electrical and Electronics Repairers, Powerhouse, Substation and Relay",49-2095,0.38,Associate Degree,23060.0,75670.0,74540.0
"MultipleMachine Tool Setters, Operators and Tenders, Metal and Plastic",51-4081,0.91,High School,117300.0,34340.0,36190.0
"Coating, Painting and Spraying Machine Setters, Operators and Tenders",51-9121,0.91,High School,85760.0,32790.0,34460.0
"First-Line Supervisors of Helpers, Laborers and Material Movers, Hand",53-1021,0.42,High School,183620.0,47230.0,50160.0
"Middle School Teachers, Except Special and Career/Technical Education",25-2022,0.17,Bachelor’s Degree,626310.0,56720.0,59800.0
"Welding, Soldering and Brazing Machine Setters, Operators and Tenders",51-4122,0.61,High School,46920.0,36980.0,38380.0
"Cleaning, Washing and Metal Pickling Equipment Operators and Tenders",51-9192,0.81,High School,17860.0,28550.0,30590.0
"Heating, Air Conditioning and Refrigeration Mechanics and Installers",49-9021,0.65,Associate Degree,294730.0,45910.0,48320.0
"Human Resources, Training and Labor Relations Specialists, All Other",13-1078,0.31,Bachelor’s Degree,79430.0,62310.0,64250.0
First-Line Supervisors of Office and Administrative Support Workers,43-1011,0.014,High School,1443150.0,54340.0,57890.0
"Textile Knitting and Weaving Machine Setters, Operators and Tenders",51-6063,0.73,High School,21550.0,27470.0,28380.0
"Combined Food Preparation and Serving Workers, Including Fast Food",35-3021,0.92,High School,3426090.0,19440.0,20460.0
"Control and Valve Installers and Repairers, Except Mechanical Door",49-9012,0.63,High School,45740.0,54520.0,56180.0
"Environmental Science and Protection Technicians, Including Health",19-4091,0.77,Associate Degree,32950.0,44190.0,47930.0
"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151,0.14,Bachelor’s Degree,6940.0,93720.0,103010.0
"Forging Machine Setters, Operators and Tenders, Metal and Plastic",51-4022,0.93,High School,19160.0,36930.0,38710.0
"Rolling Machine Setters, Operators and Tenders, Metal and Plastic",51-4023,0.83,High School,29060.0,40680.0,41900.0
"Woodworking Machine Setters, Operators and Tenders, Except Sawing",51-7042,0.97,High School,76130.0,28510.0,29850.0
"Agents and Business Managers of Artists, Performers and Athletes",13-1011,0.24,Bachelor’s Degree,13470.0,62080.0,86560.0
"Education Administrators, Preschool and Childcare Center/Program",11-9031,0.015,Bachelor’s Degree,48530.0,45790.0,52150.0
Electronic Home Entertainment Equipment Installers and Repairers,49-2097,0.65,Associate Degree,25550.0,37410.0,39340.0
"First-Line Supervisors of Farming, Fishing and Forestry Workers",45-1011,0.57,High School,19550.0,45320.0,48820.0
"Funeral Service Managers, Directors, Morticians and Undertakers",39-4831,0.2,Associate Degree,25850.0,50090.0,54700.0
"Petroleum Pump System Operators, Refinery Operators and Gaugers",51-8093,0.71,High School,41630.0,67400.0,67870.0
"Counter Attendants, Cafeteria, Food Concession and Coffee Shop",35-3022,0.96,High School,499550.0,19970.0,21380.0
First-Line Supervisors of Fire Fighting and Prevention Workers,33-1021,0.0036,Associate Degree,57170.0,74540.0,77050.0
First-Line Supervisors of Food Preparation and Serving Workers,35-1012,0.63,High School,908550.0,31480.0,34700.0
Operating Engineers and Other Construction Equipment Operators,47-2073,0.95,High School,356750.0,45890.0,50560.0
Reservation and Transportation Ticket Agents and Travel Clerks,43-4181,0.61,High School,146350.0,35230.0,38050.0
"Computer-Controlled Machine Tool Operators, Metal and Plastic",51-4011,0.86,High School,146190.0,37880.0,39590.0
"Electronic Equipment Installers and Repairers, Motor Vehicles",49-2096,0.61,Associate Degree,11750.0,32220.0,34200.0
Executive Secretaries and Executive Administrative Assistants,43-6011,0.86,High School,631610.0,55860.0,57910.0
"First-Line Supervisors of Mechanics, Installers and Repairers",49-1011,0.003,High School,453330.0,63540.0,66730.0
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011,0.66,High School,2161740.0,24190.0,27030.0
"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051,0.94,High School,91530.0,29160.0,30580.0
Photographic Process Workers and Processing Machine Operators,51-9151,0.99,High School,26430.0,26470.0,31740.0
"Administrative Law Judges, Adjudicators and Hearing Officers",23-1021,0.64,PhD,14540.0,92110.0,95240.0
"Aircraft Structure, Surfaces, Rigging and Systems Assemblers",51-2011,0.79,High School,42010.0,50050.0,52530.0
"Fine Artists, Including Painters, Sculptors and Illustrators",27-1013,0.042,Bachelor’s Degree,11520.0,50790.0,57410.0
First-Line Supervisors of Housekeeping and JanitorialWorkers,37-1011,0.94,High School,161140.0,38190.0,41240.0
"Helpers–Painters, Paperhangers, Plasterers and Stucco Masons",47-3014,0.94,High School,10780.0,27310.0,28760.0
"Coin, Vending and Amusement Machine Servicers and Repairers",49-9091,0.94,High School,33600.0,33070.0,34860.0
"Furnace, Kiln, Oven, Drier and Kettle Operators and Tenders",51-9051,0.37,High School,19520.0,36040.0,37600.0
"Securities, Commodities and Financial Services Sales Agents",41-3031,0.016,Bachelor’s Degree,353780.0,67310.0,102260.0
"Cutting and Slicing Machine Setters, Operators and Tenders",51-9032,0.86,High School,61330.0,32870.0,34000.0
Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011,0.91,High School,423080.0,20200.0,22340.0
"Environmental Scientists and Specialists, Including Health",19-2041,0.033,Bachelor’s Degree,84250.0,68910.0,75360.0
First-Line Supervisors of Production and Operating Workers,51-1011,0.016,High School,610480.0,57780.0,61450.0
"Helpers–Pipelayers, Plumbers, Pipefitters and Steamfitters",47-3015,0.57,High School,54080.0,29030.0,30640.0
"Human Resources Assistants, Except Payroll and Timekeeping",43-4161,0.9,Associate Degree,137150.0,39020.0,40100.0
"Radio, Cellular and Tower Equipment Installers and Repairs",49-2021,0.93,Associate Degree,14120.0,52480.0,53620.0
Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061,0.97,High School,10860.0,27270.0,28480.0
"Education Administrators, Elementary and Secondary School",11-9032,0.0046,Master’s Degree,242970.0,92510.0,95390.0
"ExplosivesWorkers, Ordnance Handling Experts and Blasters",47-5031,0.48,High School,6310.0,52170.0,54580.0
"Healthcare Practitioners and Technical Workers, All Other",29-9799,0.055,Associate Degree,36000.0,48820.0,57960.0
"Mixing and BlendingMachine Setters, Operators and Tenders",51-9023,0.83,High School,130480.0,35680.0,37630.0
Probation Officers and Correctional Treatment Specialists,21-1092,0.25,Bachelor’s Degree,87500.0,50160.0,55380.0
Water and Wastewater Treatment Plant and System Operators,51-8031,0.61,High School,115840.0,45760.0,47930.0
"Weighers, Measurers, Checkers and Samplers, Recordkeeping",43-5111,0.95,High School,74460.0,28790.0,31080.0
"Life, Physical and Social Science Technicians, All Other",19-4099,0.61,Associate Degree,68540.0,46040.0,49270.0
Outdoor Power Equipment and Other Small Engine Mechanics,49-3053,0.93,High School,33020.0,33730.0,35320.0
"Pesticide Handlers, Sprayers and Applicators, Vegetation",37-3012,0.97,High School,25230.0,33740.0,35720.0
"Property, Real Estate and Community Association Managers",11-9141,0.81,High School,180290.0,57040.0,70290.0
"Computer, Automated Teller and Office Machine Repairers",49-2011,0.74,Associate Degree,102170.0,37100.0,39410.0
"Educational, Guidance, School and Vocational Counselors",21-1012,0.0085,Master’s Degree,260670.0,54560.0,57620.0
"Health Diagnosing and Treating Practitioners, All Other",29-1199,0.02,Master’s Degree,36280.0,74530.0,84800.0
"Hosts and Hostesses, Restaurant, Lounge and Coffee Shop",35-9031,0.97,High School,404360.0,19980.0,21410.0
"Installation, Maintenance and Repair Workers, All Other",49-9799,0.5,High School,146460.0,38480.0,41810.0
"Camera Operators, Television, Video and Motion Picture",27-4031,0.6,Bachelor’s Degree,21710.0,55080.0,63200.0
"Molders, Shapers and Casters, Except Metal and Plastic",51-9195,0.9,High School,39450.0,30610.0,32590.0
"Textile Cutting Machine Setters, Operators and Tenders",51-6062,0.95,High School,15040.0,26090.0,27860.0
Veterinary Assistants and Laboratory Animal Caretakers,31-9096,0.86,High School,79990.0,25250.0,26810.0
Bus and Truck Mechanics and Diesel Engine Specialists,49-3031,0.73,High School,254280.0,45170.0,46710.0
"Career/Technical Education Teachers, Secondary School",25-2032,0.0088,Bachelor’s Degree,80100.0,57320.0,59480.0
Excavating and Loading Machine and Dragline Operators,53-7032,0.94,High School,48320.0,41030.0,45230.0
Gaming Surveillance Officers and Gaming Investigators,33-9031,0.95,High School,10460.0,32630.0,35280.0
"Laborers and Freight, Stock and Material Movers, Hand",53-7062,0.85,High School,2587900.0,25980.0,28720.0
Rail-Track Laying and Maintenance Equipment Operators,47-4061,0.89,High School,14250.0,53970.0,52810.0
Cooling and Freezing Equipment Operators and Tenders,51-9193,0.93,High School,8170.0,29190.0,32100.0
"Elementary School Teachers, Except Special Education",25-2021,0.0044,Bachelor’s Degree,1392660.0,55800.0,59020.0
"Helpers–Installation, Maintenance and Repair Workers",49-9098,0.79,High School,118720.0,27510.0,29370.0
Audio-Visual and Multimedia Collections Specialists,25-9011,0.39,Bachelor’s Degree,10300.0,47840.0,50130.0
"Compensation, Benefits and Job Analysis Specialists",13-1141,0.47,Bachelor’s Degree,79190.0,62080.0,66490.0
"Engineering Technicians, Except Drafters, All Other",17-3029,0.24,Associate Degree,74290.0,62330.0,64050.0
"Inspectors, Testers, Sorters, Samplers and Weighers",51-9061,0.98,High School,518950.0,36780.0,40340.0
Packaging and Filling Machine Operators and Tenders,51-9111,0.98,High School,386520.0,28290.0,30910.0
"Sawing Machine Setters, Operators and Tenders, Wood",51-7041,0.86,High School,50640.0,28380.0,29960.0
"Transportation Attendants, Except Flight Attendants",53-6061,0.75,High School,18410.0,26060.0,31080.0
"Career/Technical Education Teachers, Middle School",25-2023,0.26,Bachelor’s Degree,12730.0,57560.0,60350.0
Electrical and Electronics Engineering Technicians,17-3023,0.84,Associate Degree,134870.0,62190.0,62950.0
First-Line Supervisors of Non-Retail Sales Workers,41-1012,0.075,High School,252670.0,73150.0,85830.0
First-Line Supervisors of Personal Service Workers,39-1021,0.076,High School,190420.0,36700.0,39830.0
"Geoscientists, Except Hydrologists and Geographers",19-2042,0.63,Bachelor’s Degree,30420.0,89780.0,106390.0
"Locker Room, Coatroom and Dressing Room Attendants",39-3093,0.43,High School,18040.0,21720.0,24390.0
Market Research Analysts and Marketing Specialists,13-1161,0.61,Bachelor’s Degree,558630.0,62560.0,70620.0
Medical Records and Health Information Technicians,29-2071,0.91,Associate Degree,200140.0,38040.0,41460.0
"Paper Goods Machine Setters, Operators and Tenders",51-9196,0.67,High School,93100.0,36990.0,38570.0
"Rail Yard Engineers, Dinkey Operators and Hostlers",53-4013,0.91,High School,4530.0,50470.0,52320.0
"Refractory Materials Repairers, Except Brickmasons",49-9045,0.82,High School,1540.0,45230.0,47000.0
Substance Abuse and Behavioral Disorder Counselors,21-1011,0.033,Bachelor’s Degree,91040.0,41070.0,44160.0
"Switchboard Operators, Including Answering Service",43-2011,0.96,High School,90910.0,28030.0,29720.0
"Farmers, Ranchers and Other Agricultural Managers",11-9013,0.047,High School,4560.0,66360.0,75790.0
Forest Fire Inspectors and Prevention Specialists,33-2022,0.048,High School,1650.0,36230.0,44300.0
Licensed Practical and Licensed Vocational Nurses,29-2061,0.058,Associate Degree,702400.0,44090.0,44840.0
"Paving, Surfacing and Tamping Equipment Operators",47-2071,0.83,High School,51880.0,38970.0,43800.0
"Transportation, Storage and Distribution Managers",11-3071,0.59,High School,113270.0,89190.0,97630.0
"Wholesale and Retail Buyers, Except Farm Products",13-1022,0.29,Bachelor’s Degree,109440.0,53340.0,60040.0
Aerospace Engineering and Operations Technicians,17-3021,0.48,Associate Degree,11970.0,68020.0,71070.0
"Electric Motor, Power Tool and Related Repairers",49-2092,0.76,Associate Degree,17050.0,41570.0,44720.0
Farm Equipment Mechanics and Service Technicians,49-3041,0.75,High School,35110.0,37820.0,39310.0
"Floor Layers, Except Carpet, Wood and Hard Tiles",47-2042,0.79,High School,10340.0,37840.0,42370.0
Gas Compressor and Gas Pumping Station Operators,53-7071,0.91,High School,3890.0,60470.0,59620.0
Manufactured Building and Mobile Home Installers,49-9095,0.18,High School,3200.0,29810.0,31030.0
Mental Health and Substance Abuse Social Workers,21-1023,0.0031,Bachelor’s Degree,114040.0,42700.0,47880.0
"Mobile Heavy Equipment Mechanics, Except Engines",49-3042,0.4,High School,123570.0,49370.0,50810.0
"Pressers, Textile, Garment and Related Materials",51-6021,0.81,High School,45150.0,21300.0,22270.0
"Social Scientists and Related Workers, All Other",19-3099,0.04,Bachelor’s Degree,36380.0,77020.0,80860.0
Telecommunications Line Installers and Repairers,49-9052,0.49,High School,100080.0,52590.0,54700.0
First-Line Supervisors of Correctional Officers,33-1011,0.025,High School,43230.0,60560.0,65100.0
First-Line Supervisors of Police and Detectives,33-1012,0.0044,High School,100200.0,84840.0,88400.0
"Health Technologists and Technicians, All Other",29-2799,0.4,High School,122170.0,41070.0,46020.0
"Kindergarten Teachers, Except Special Education",25-2012,0.15,Bachelor’s Degree,151290.0,52620.0,55460.0
Tax Examiners and Collectors and Revenue Agents,13-2081,0.93,Bachelor’s Degree,58450.0,52060.0,57950.0
Adhesive Bonding Machine Operators and Tenders,51-9191,0.95,High School,16940.0,32290.0,34610.0
"Dispatchers, Except Police, Fire and Ambulance",43-5032,0.96,High School,197910.0,37940.0,41190.0
Electrical and Electronic Equipment Assemblers,51-2022,0.95,High School,218530.0,31310.0,33700.0
Electrical Power-Line Installers and Repairers,49-9051,0.097,High School,117670.0,68010.0,67160.0
First-Line Supervisors of Retail Sales Workers,41-1011,0.28,High School,1194220.0,39040.0,43910.0
"Airline Pilots, Copilots and Flight Engineers",53-2011,0.18,Bachelor’s Degree,81520.0,127820.0,152770.0
"Claims Adjusters, Examiners and Investigators",13-1031,0.98,High School,274420.0,63680.0,64990.0
"Clinical, Counseling and School Psychologists",19-3031,0.0047,PhD,107980.0,73270.0,78690.0
"Directors, Religious Activities and Education",21-2021,0.025,Bachelor’s Degree,20590.0,38610.0,44840.0
"Eligibility Interviewers, Government Programs",43-4061,0.7,High School,135940.0,43350.0,43550.0
"Hairdressers, Hairstylists and Cosmetologists",39-5012,0.11,Associate Degree,352380.0,24260.0,29590.0
Insurance Claims and Policy Processing Clerks,43-9041,0.98,High School,274350.0,38430.0,40780.0
Jewelers and Precious Stone and Metal Workers,51-9071,0.95,High School,26480.0,38200.0,42310.0
"Loading Machine Operators, Underground Mining",53-7033,0.5,High School,2550.0,53420.0,51260.0
Medical and Clinical Laboratory Technologists,29-2011,0.9,Bachelor’s Degree,166730.0,61070.0,62440.0
Mine Cutting and Channeling Machine Operators,47-5042,0.59,High School,5930.0,51900.0,50670.0
Septic Tank Servicers and Sewer Pipe Cleaners,47-4071,0.83,High School,26320.0,36430.0,38870.0
Automotive and Watercraft Service Attendants,53-6031,0.83,High School,109790.0,22420.0,24280.0
Automotive Service Technicians and Mechanics,49-3023,0.59,Associate Degree,647380.0,38470.0,41400.0
Cardiovascular Technologists and Technicians,29-2031,0.23,Associate Degree,53760.0,55570.0,57100.0
Computer and Information Research Scientists,15-1111,0.015,PhD,26580.0,111840.0,116320.0
Emergency Medical Technicians and Paramedics,29-2041,0.049,Associate Degree,244960.0,32670.0,36110.0
Metal-Refining Furnace Operators and Tenders,51-4051,0.88,High School,17730.0,41040.0,41840.0
"Preschool Teachers, Except Special Education",25-2011,0.0074,Associate Degree,385550.0,28790.0,33300.0
"Special Education Teachers, Secondary School",25-2054,0.0077,Bachelor’s Degree,132490.0,59700.0,64020.0
"Umpires, Referees and Other Sports Officials",27-2023,0.98,High School,18660.0,25660.0,35540.0
"Bookkeeping, Accounting and Auditing Clerks",43-3031,0.98,Associate Degree,1566960.0,38390.0,40220.0
"Buyers and Purchasing Agents, Farm Products",13-1021,0.87,Bachelor’s Degree,11490.0,58430.0,63910.0
Camera and Photographic Equipment Repairers,49-9061,0.97,Associate Degree,3760.0,41060.0,43920.0
"Captains, Mates and Pilots of Water Vessels",53-5021,0.27,Associate Degree,36720.0,72680.0,81520.0
"Construction and Related Workers, All Other",47-4799,0.71,High School,35340.0,36890.0,40480.0
"Insulation Workers, Floor, Ceiling and Wall",47-2131,0.83,High School,29500.0,35660.0,39490.0
"Meat, Poultry and Fish Cutters and Trimmers",51-3022,0.94,High School,149800.0,24490.0,25510.0
Medical and Clinical Laboratory Technicians,29-2012,0.47,Associate Degree,160190.0,38950.0,41700.0
Motorboat Mechanics and Service Technicians,49-3051,0.66,High School,20260.0,38780.0,40860.0
Network and Computer Systems Administrators,15-1142,0.03,Bachelor’s Degree,376820.0,79700.0,84500.0
"Railroad Brake, Signal and Switch Operators",53-4021,0.83,High School,19860.0,56570.0,55320.0
"Service Unit Operators, Oil, Gas and Mining",47-5013,0.93,High School,42890.0,48610.0,53520.0
Aircraft Mechanics and Service Technicians,49-3011,0.71,Associate Degree,128570.0,60170.0,61190.0
"Business Operations Specialists, All Other",13-1199,0.23,Bachelor’s Degree,958670.0,69040.0,74870.0
Food Cooking Machine Operators and Tenders,51-3093,0.61,High School,36520.0,28350.0,30330.0
Gaming and Sports Book Writers and Runners,39-3012,0.91,High School,11460.0,22600.0,25710.0
"Graders and Sorters, Agricultural Products",45-2041,0.41,High School,38780.0,22520.0,24280.0
"Makeup Artists, Theatrical and Performance",39-5091,0.01,Associate Degree,3600.0,60970.0,71590.0
"Medical Scientists, Except Epidemiologists",19-1042,0.0045,PhD,108870.0,80530.0,95000.0
Merchandise Displayers and Window Trimmers,27-1026,0.48,High School,114690.0,26700.0,30090.0
Occupational Health and Safety Specialists,29-9011,0.17,Bachelor’s Degree,76630.0,70920.0,72480.0
Occupational Health and Safety Technicians,29-9012,0.25,High School,16560.0,48820.0,52520.0
"Production, Planning and Expediting Clerks",43-5061,0.88,High School,321780.0,46760.0,49050.0
Public Address System and Other Announcers,27-3012,0.72,High School,8020.0,28940.0,42740.0
Security and Fire Alarm Systems Installers,49-2098,0.82,High School,67700.0,44330.0,45660.0
"Title Examiners, Abstractors and Searchers",23-2093,0.99,High School,54560.0,45800.0,51490.0
"Ushers, Lobby Attendants and Ticket Takers",39-3031,0.96,High School,117920.0,19920.0,21740.0
Agricultural and Food Science Technicians,19-4011,0.97,Associate Degree,20420.0,37550.0,40470.0
Automotive Glass Installers and Repairers,49-3022,0.55,High School,18610.0,34340.0,36140.0
Computer and Information Systems Managers,11-3021,0.035,Bachelor’s Degree,352510.0,135800.0,145740.0
Fitness Trainers and Aerobics Instructors,39-9031,0.085,High School,257410.0,38160.0,42780.0
"Interviewers, Except Eligibility and Loan",43-4111,0.94,High School,186030.0,32150.0,33640.0
Judges,23-1023,0.4,PhD,27210.0,125880.0,115460.0
"Office Machine Operators, Except Computer",43-9071,0.92,High School,58160.0,30460.0,32390.0
Public Relations and Fundraising Managers,11-2031,0.015,Bachelor’s Degree,63970.0,107320.0,123360.0
Refuse and Recyclable Material Collectors,53-7081,0.93,High School,114680.0,35270.0,37690.0
"Special Education Teachers, Middle School",25-2053,0.016,Bachelor’s Degree,90250.0,58560.0,61910.0
Stationary Engineers and Boiler Operators,51-8021,0.89,High School,33720.0,59400.0,61410.0
Chemical Equipment Operators and Tenders,51-9011,0.76,High School,73840.0,47780.0,50300.0
Gaming Change Persons and Booth Cashiers,41-2012,0.83,High School,23120.0,23780.0,25940.0
Light Truck or Delivery Services Drivers,53-3033,0.69,High School,858710.0,30580.0,34790.0
"Painting, Coating and Decorating Workers",51-9123,0.92,High School,15450.0,30030.0,32040.0
Ambulance Drivers and Attendants,29-2037,0.23,Associate Degree,35850.0,68420.0,69240.0
Recreational Vehicle Service Technicians,49-3092,0.59,High School,13520.0,36430.0,38040.0
Structural Metal Fabricators and Fitters,51-2041,0.41,High School,77270.0,37730.0,40000.0
Veterinary Technologists and Technicians,29-2056,0.029,Associate Degree,99390.0,32490.0,33870.0
Appraisers and Assessors of Real Estate,13-2021,0.9,Bachelor’s Degree,60770.0,51850.0,58030.0
"Arbitrators, Mediators and Conciliators",23-1022,0.06,Bachelor’s Degree,6300.0,59770.0,72730.0
"Child, Family and School Social Workers",21-1021,0.028,Bachelor’s Degree,298840.0,43250.0,47510.0
"Credit Authorizers, Checkers and Clerks",43-4041,0.97,High School,37680.0,36930.0,39320.0
"Education Administrators, Postsecondary",11-9033,0.01,Master’s Degree,138430.0,90760.0,105770.0
Heavy and Tractor-Trailer Truck Drivers,53-3032,0.79,Associate Degree,1704520.0,41340.0,43590.0
Industrial-Organizational Psychologists,19-3032,0.012,Master’s Degree,1020.0,82760.0,104570.0
"Maintenance and Repair Workers, General",49-9071,0.64,High School,1332480.0,36940.0,39360.0
Musical Instrument Repairers and Tuners,49-9063,0.91,High School,7980.0,35010.0,37690.0
"Pump Operators, Except Wellhead Pumpers",53-7072,0.9,High School,12030.0,42470.0,46270.0
"Welders, Cutters, Solderers and Brazers",51-4121,0.94,High School,382730.0,39390.0,42450.0
"Architects, Except Landscape and Naval",17-1011,0.018,Bachelor’s Degree,99860.0,76930.0,84470.0
Architectural and Engineering Managers,11-9041,0.017,Bachelor’s Degree,178390.0,134730.0,143870.0
Electromechanical Equipment Assemblers,51-2023,0.97,High School,45540.0,33350.0,35410.0
"Electronics Engineers, Except Computer",17-2072,0.025,Bachelor’s Degree,132100.0,99210.0,103760.0
Industrial Truck and Tractor Operators,53-7051,0.93,High School,542750.0,32460.0,34260.0
Landscaping and Groundskeeping Workers,37-3011,0.95,High School,906570.0,26320.0,28560.0
"Meeting, Convention and Event Planners",13-1121,0.037,Bachelor’s Degree,95850.0,47350.0,52020.0
"Painters, Construction and Maintenance",47-2141,0.75,High School,217280.0,37570.0,41510.0
"Plumbers, Pipefitters and Steamfitters",47-2152,0.35,High School,411870.0,51450.0,56030.0
"Police, Fire and Ambulance Dispatchers",43-5031,0.49,High School,95170.0,38870.0,41070.0
"Shipping, Receiving and Traffic Clerks",43-5071,0.98,High School,676990.0,31180.0,33150.0
Shoe and Leather Workers and Repairers,51-6041,0.52,High School,7780.0,23940.0,26040.0
"Tailors, Dressmakers and Custom Sewers",51-6052,0.84,High School,21660.0,28240.0,30670.0
Timing Device Assemblers and Adjusters,51-2093,0.98,High School,790.0,37040.0,42470.0
Audio and Video Equipment Technicians,27-4011,0.55,Associate Degree,69670.0,42230.0,47450.0
Automotive Body and Related Repairers,49-3021,0.91,High School,143940.0,41540.0,45180.0
"Bus Drivers, School or Special Client",53-3022,0.89,High School,515020.0,30150.0,31110.0
Detectives and Criminal Investigators,33-3021,0.34,High School,104980.0,78120.0,81490.0
Environmental Engineering Technicians,17-3025,0.25,Associate Degree,16550.0,49170.0,52500.0
Fiberglass Laminators and Fabricators,51-2091,0.93,High School,19400.0,30870.0,33020.0
"Healthcare Support Workers, All Other",31-9799,0.63,High School,93830.0,36330.0,37720.0
Marine Engineers and Naval Architects,17-2121,0.01,Bachelor’s Degree,8120.0,93350.0,99860.0
"Plant and System Operators, All Other",51-8099,0.86,High School,11970.0,54930.0,55340.0
Social and Community Service Managers,11-9151,0.0067,Bachelor’s Degree,126230.0,64680.0,70870.0
"Software Developers, Systems Software",15-1133,0.13,Bachelor’s Degree,409820.0,106860.0,110590.0
Cement Masons and Concrete Finishers,47-2051,0.94,High School,173920.0,39180.0,43720.0
Construction and Building Inspectors,47-4011,0.63,High School,94960.0,58480.0,61250.0
Geological and Petroleum Technicians,19-4041,0.91,Associate Degree,15100.0,56470.0,62240.0
"Grinding and Polishing Workers, Hand",51-9022,0.97,High School,26670.0,28720.0,30860.0
Medical and Health Services Managers,11-9111,0.0073,Bachelor’s Degree,332150.0,96540.0,109370.0
Police and Sheriff’s Patrol Officers,33-3051,0.098,High School,657690.0,59680.0,62760.0
Postmasters and Mail Superintendents,11-9131,0.75,High School,14720.0,71670.0,71980.0
